id,name,unlock_level,profile,station,professional,time_seconds,portions_per_batch,batch_cost,unit_price,gross_revenue,estimated_profit,profit_per_station_minute,batch_xp,asset_id
sushi-combo,"Combinado de sushi",64,quick,cold_prep,"Sushiman",720,110,3218,45,4950,1732,144.33,440,food_v008_41
grilled-salmon-asparagus,"Salmão grelhado com aspargos",68,medium,grill,"Chapeiro",2700,300,8694,42,12600,3906,86.80,900,food_v008_42
picanha,"Picanha na chapa",72,quick,smoker,"Assador",900,100,3850,55,5500,1650,110.00,400,food_v008_43
petit-gateau,"Petit gâteau",76,quick,pastry,"Confeiteiro",600,90,3510,60,5400,1890,189.00,360,food_v008_44
latte-art,"Latte com arte",80,express,coffee_machine,"Barista",120,60,1440,40,2400,960,480.00,240,food_v008_45
roast-lamb-potatoes,"Cordeiro assado com batatas",84,overnight,oven,"Assador",28800,1100,31680,48,52800,21120,44.00,3300,food_v008_46
butter-lobster,"Lagosta na manteiga",88,premium,stove,"Cozinheiro Geral",3600,80,9216,180,14400,5184,86.40,640,food_v008_47
filet-mignon-madeira,"Filé-mignon ao molho madeira",91,premium,grill,"Chapeiro + Cozinheiro Geral",2700,100,10200,170,17000,6800,151.11,800,food_v008_48
shrimp-risotto,"Risoto de camarão",94,premium,stove,"Cozinheiro Geral",3000,120,10560,160,19200,8640,172.80,840,food_v008_49
berry-cheesecake,"Cheesecake de frutas vermelhas",96,premium,pastry,"Confeiteiro",28800,100,12980,220,22000,9020,18.79,800,food_v008_50
premium-seafood-board,"Tábua premium de frutos do mar",98,premium,cold_prep,"Sushiman + Assador",14400,120,18720,260,31200,12480,52.00,1200,food_v008_51
truffle-medallion-puree,"Medalhão trufado com purê",100,legendary,smoker,"Assador + Cozinheiro Geral",3600,100,20400,300,30000,9600,160.00,1200,food_v008_52
